prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-BIA,FAST,1.A.Red,2026-06-30,11,1761.0,1761.0,0.281,0.489
CAL.R-BIA,FAST,1.B.Blue,2026-04-07,13,1226.0,1226.0,0.183,0.201
CAL.R-BIA,FAST,1.B.Blue,2026-05-02,1,1223.0,1223.0,0.179,0.219
CAL.R-BIA,FAST,1.B.Blue,2026-06-30,11,1229.0,1229.0,0.184,0.199
CAL.R-BIA,FAST,1.B.Green,2026-04-07,13,1041.0,1043.0,0.765,0.484
CAL.R-BIA,FAST,1.B.Green,2026-05-02,1,1038.0,1040.0,0.746,0.475
CAL.R-BIA,FAST,1.B.Green,2026-06-30,11,1042.0,1043.0,0.771,0.531
CAL.R-BIA,FAST,1.B.Red,2026-04-07,13,1560.0,1561.0,1.072,0.387
CAL.R-BIA,FAST,1.B.Red,2026-05-02,1,1553.0,1554.0,1.034,0.38
CAL.R-BIA,FAST,1.B.Red,2026-06-30,11,1572.0,1573.0,1.075,0.389
CAL.R-BIA,FAST,2.A.Blue,2026-04-07,13,806.0,806.0,0.306,0.382
CAL.R-BIA,FAST,2.A.Blue,2026-05-02,1,804.0,804.0,0.25,0.371
CAL.R-BIA,FAST,2.A.Blue,2026-06-30,11,814.0,814.0,0.308,0.395
CAL.R-BIA,FAST,2.A.Green,2026-04-07,13,860.0,862.0,1.355,0.248
CAL.R-BIA,FAST,2.A.Green,2026-05-02,1,879.0,880.0,1.334,0.249
CAL.R-BIA,FAST,2.A.Green,2026-06-30,11,856.0,858.0,1.356,0.254
CAL.R-BIA,FAST,2.A.Red,2026-04-07,13,828.0,829.0,0.341,0.35
CAL.R-BIA,FAST,2.A.Red,2026-05-02,1,822.0,822.0,0.325,0.355
CAL.R-BIA,FAST,2.A.Red,2026-06-30,11,837.0,837.0,0.356,0.365
CAL.R-BIA,FAST,2.B.Blue,2026-04-07,13,1429.0,1429.0,0.294,0.2
CAL.R-BIA,FAST,2.B.Blue,2026-05-02,1,1427.0,1427.0,0.294,0.202
CAL.R-BIA,FAST,2.B.Blue,2026-06-30,11,1432.0,1432.0,0.302,0.199
CAL.R-BIA,FAST,2.B.Green,2026-04-07,13,760.0,760.0,0.108,0.109
CAL.R-BIA,FAST,2.B.Green,2026-05-02,1,764.0,764.0,0.187,0.279
CAL.R-BIA,FAST,2.B.Green,2026-06-30,11,760.0,760.0,0.106,0.108
CAL.R-BIA,FAST,2.B.Red,2026-04-07,13,1659.0,1659.0,0.188,0.419
CAL.R-BIA,FAST,2.B.Red,2026-05-02,1,1646.0,1646.0,0.189,0.413
CAL.R-BIA,FAST,2.B.Red,2026-06-30,11,1666.0,1666.0,0.195,0.444
CAL.R-BIA,FAST,3.A.Blue,2026-04-07,13,1446.0,1446.0,1415.481,0.222
CAL.R-BIA,FAST,3.A.Blue,2026-05-02,1,1448.0,1448.0,1415.438,0.234
CAL.R-BIA,FAST,3.A.Blue,2026-06-30,11,1446.0,1445.0,1415.503,0.447
CAL.R-BIA,FAST,3.A.Green,2026-04-07,13,788.0,788.0,0.515,0.381
CAL.R-BIA,FAST,3.A.Green,2026-05-02,1,802.0,803.0,0.586,0.374
CAL.R-BIA,FAST,3.A.Green,2026-06-30,11,786.0,786.0,0.499,0.413
CAL.R-BIA,FAST,3.A.Red,2026-04-07,13,1749.0,1749.0,0.179,0.504
CAL.R-BIA,FAST,3.A.Red,2026-05-02,1,1740.0,1740.0,0.194,0.492
CAL.R-BIA,FAST,3.A.Red,2026-06-30,11,1755.0,1755.0,0.181,0.524
CAL.R-BIA,FAST,3.B.Blue,2026-04-07,13,1069.0,1069.0,0.334,0.307
CAL.R-BIA,FAST,3.B.Blue,2026-05-02,1,1068.0,1068.0,0.305,0.302
CAL.R-BIA,FAST,3.B.Blue,2026-06-30,11,1069.0,1069.0,0.34,0.329
CAL.R-BIA,FAST,3.B.Green,2026-04-07,13,870.0,870.0,0.223,0.421
CAL.R-BIA,FAST,3.B.Green,2026-05-02,1,868.0,868.0,0.21,0.418
CAL.R-BIA,FAST,3.B.Green,2026-06-30,11,871.0,872.0,0.225,0.436
CAL.R-BIA,FAST,3.B.Red,2026-04-07,13,1488.0,1489.0,1.507,0.344
CAL.R-BIA,FAST,3.B.Red,2026-05-02,1,1479.0,1481.0,1.465,0.347
CAL.R-BIA,FAST,3.B.Red,2026-06-30,11,1492.0,1493.0,1.52,0.362
CAL.R-BIA,FAST,4.A.Green,2026-04-07,13,866.0,867.0,1.009,0.374
CAL.R-BIA,FAST,4.A.Green,2026-05-02,1,883.0,884.0,1.008,0.374
CAL.R-BIA,FAST,4.A.Green,2026-06-30,11,861.0,863.0,0.885,0.389
CAL.R-BIA,FAST,4.A.Red,2026-04-07,13,1536.0,1521.0,5.459,23.119
CAL.R-BIA,FAST,4.A.Red,2026-05-02,1,1534.0,1522.0,4.125,5.385
CAL.R-BIA,FAST,4.A.Red,2026-06-30,11,1521.0,1499.0,97.98,410.937
CAL.R-BIA,FAST,4.B.Blue,2026-04-07,13,870.0,870.0,0.374,0.286
CAL.R-BIA,FAST,4.B.Blue,2026-05-02,1,884.0,884.0,0.363,0.275
CAL.R-BIA,FAST,4.B.Blue,2026-06-30,11,865.0,865.0,0.376,0.294
CAL.R-BIA,FAST,4.B.Green,2026-04-07,13,795.0,796.0,1.348,0.421
CAL.R-BIA,FAST,4.B.Green,2026-05-02,1,815.0,816.0,1.299,0.411
CAL.R-BIA,FAST,4.B.Green,2026-06-30,11,790.0,791.0,1.362,0.463
CAL.R-BIA,FAST,4.B.Red,2026-04-07,13,1922.0,1922.0,0.324,0.543
CAL.R-BIA,FAST,4.B.Red,2026-05-02,1,1946.0,1947.0,0.273,0.518
